question,answer
"In 2024, how many million daily trips were made in London on an average day?",26.6
By what percentage did daily trips in London increase from 2023 to 2024?,1.7000000000000002
"In 2024, how many million daily journey stages were there in London on an average day?",30.2
What was the percentage increase in daily journey stages in London between 2023 and 2024?,1.6
"In 2024, what percentage of all trips in London used active, efficient and sustainable modes?",63.4
"What was the active, efficient and sustainable mode share percentage in London in 2019?",63.6
"In 2024, what percentage of all trips in London were walking trips?",25.7
What was the cycling mode share percentage in London in 2024?,4.7
What was the cycling mode share percentage in London in 2019?,3.6
What was the cycling mode share percentage in London in 2000?,1.9
By what percentage did London’s population grow in 2024 compared with 2023?,1.0
By what percentage was London’s population larger in 2024 than in 2019?,2.2
"Approximately how many more residents were there in London in 2024 compared with 2019, in thousands?",200.0
"How many more births than deaths were there in London in 2024, in thousands?",55.0
"How many London residents moved to other parts of the UK in 2024, in thousands?",415.0
By what percentage did the number of London residents moving to other parts of the UK increase between 2014 and 2024?,28.0
By what percentage did the number of London residents moving to the North and Midlands increase since 2014?,40.0
"Between 2019 and 2014, by what percentage did the population grow in the East and South East regions?",5.0
"Between 2019 and 2014, by what percentage did London’s population grow?",2.0
"What is the Mayoral target percentage for trips in London to be made by active, efficient and sustainable modes by 2041?",80.0
What percentage of trips in London were made by public transport in 2019?,35.4
What percentage of trips in London were made by public transport in 2000?,26.6
What percentage of trips in London were made by private transport in 2019?,36.4
What percentage of trips in London were made by private transport in 2000?,47.6
What was the public transport mode share percentage in London in 2024?,33.0
What was the private transport mode share percentage in London in 2024?,36.6
"Between 2000 and 2019, by what percentage did the total number of trips made in London on an average day increase?",20.0
"Between 2015 and 2019, by what percentage did average daily trips in London increase?",0.4
By what percentage did London’s population increase between 2015 and 2019?,2.7
"In 2024, by what percentage was overall travel demand in London lower than in 2019?",2.5
"In 2024, by what percentage was the number of daily journey stages in London lower than in 2019?",5.7
"In 2024, by what percentage was National Rail and London Overground daily demand below 2019 levels?",8.3
"In 2024, by what percentage was London Underground daily demand below 2019 levels?",10.3
"In 2024, by what percentage was daily bus demand below 2019 levels?",9.0
"In 2024, by what percentage was daily bus demand lower than a decade earlier?",18.9
"In 2024, by what percentage were daily car driver trips below 2019 levels?",1.8
"In 2024, by what percentage did National Rail and London Overground demand grow compared with 2023?",7.3
"In 2024, by what percentage did London Underground demand grow compared with 2023?",2.0
"In 2024, by what percentage did daily bus demand change compared with 2023?",-0.5
"In 2024, by what percentage did daily car driver trips change compared with 2023?",1.4
"What was the London population increase rate in 2023, in percentage?",1.4
"Between 2019 and 2024, by what percentage did London’s population grow?",2.2
"By what percentage did the median age increase fastest in London between 2011 and 2024 compared with other UK regions, in percentage terms?",0.0
